application_number,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_city_name,inventor_region_code,inventor_country_code
04840815,WILLIAM,D.,SCHAEFFER,1,POMONA,CA,US
05434252,HERMAN,,LEVIN,1,GLENVIEW,IL,US
05434252,ERIC,K.,MAXON,2,EVANSTON,IL,US
05603052,AGIS,F.,KYDONIEUS,1,NEW YORK,NY,US
05823902,WILLIAM,G.,HECKENHAUER,1,BUCYRUS,OH,US
05823902,ROBERT,E.,LOY,2,BUCYRUS,OH,US
06300460,TIMOTHY,R.,PRYOR,1,"WINDSOR,ONTARIO",,CA
06490502,WILLIAM,B.,RUGER,1,CROYDON,NH,US
06490502,ROY,L.,MELCHER,2,STRATFORD,CT,US
07965267,BIRGER,,HJERTMAN,1,,,SE
08211955,JOSEPH,C.,HOGAN,1,,,US
08379649,GRAHAM,,ALLAWAY,1,,,US
08392957,GRAHAM,J.,DURANT,1,,,US
08564130,FRANK,,PASSANTINO,1,,,US
08464759,FRANZ,F.,WOHLGEMUTH,1,,,US
08433467,JOHN,F.W.,KEANA,1,,,US
08030312,BRIAN,V.,JENSEN,1,THISTED,,DK
08330055,ROBERT,C.,BENING,1,KATY,TX,US
08330055,CARL,L.,WILLIS,2,HOUSTON,TX,US
08663086,GREG,,EDWARDS,1,,,AU
08565074,IAN,,GARNER,1,EDINHBURH,SC,GB
08565074,IAN,R.,COTTINGHAM,2,EDINBURGH,SC,GB
08565074,SIMON,M.,TEMPERLEY,3,EDINBURGH,SC,GB
08565074,DONALD,C.,FOSTER,4,SEATTLE,WA,US
08565074,CINDY,A.,SPRECHER,5,SEATTLE,WA,US
08565074,DONNA,E.,PRUNKARD,6,SEATTLE,WA,US
08696936,RONALD,O,BUBAR,1,,,US
08666423,CARLOS,,GABAS CEBOLLERO,1,,,ES
06332032,TIMOTHY,J.,LEDVINA,1,ITHACA,NY,US
06332032,ROBERT,H.,MEAD,2,ITHACA,NY,US
08676376,DANIEL,,SCHAFER,1,,,
08737187,MARTIALC,,COMMINGES,1,,,FR
08765256,SOLBJORG,,OISTEIN,1,,,
08765249,COMPANY,,VESUVIUS CRUCIBLE,1,,,US
08817473,MILTON,,KLEINMAN,1,,,US
08860568,KAZUHIRO,,HARA,1,,,JP
08860297,SIEGMAR,,MALOW,1,,,
08834916,DENNIS,H.,CHANCELLOR,1,POWAY,CA,US
08809979,MICHAEL,,BEIGEL,1,,,US
08860030,ROBERT,J.,WOOLSEY,1,,,US
08875313,COR,,VAN TILBURG,1,,,
08809458,LAURENT,,FRAISSE,1,,,FR
08954154,ARTURO,G.,BELLETTINI,1,SEMMES,AL,US
08954154,RICHARD,J.,BELLETTINI,2,BURBANK,CA,US
08762555,HOCK,BAN,GOH,1,SINGAPORE,,SG
08762555,JI,,ZHU,2,SINGAPORE,,SG
08762555,HSIEN,YING,NIU,3,SINGAPORE,,SG
