application_number,filing_date,application_invention_type,examiner_full_name,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,atty_docket_number,appl_status_desc,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,invention_title,small_entity_indicator,aia_first_to_file
04453098,,,"LATEEF, MARVIN M",2106,338,254000,6933,,Patented File - (Old Case Added for File Tracking Purposes),1983-12-28,FILE REPOSITORY (FRANCONIA),1986-04-23,,,,,,,,UNDISCOUNTED,
04544040,,,"GLUCK, RICHARD E",3403,417,353000,9431,,Patented File - (Old Case Added for File Tracking Purposes),1983-08-22,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,,,,UNDISCOUNTED,
04577552,,,"LOOK, EDWARD K",3401,060,053000,1435,,Patented File - (Old Case Added for File Tracking Purposes),1984-02-21,FILE REPOSITORY (FRANCONIA),2008-01-07,,,,,,,,UNDISCOUNTED,
04578318,,,"HOWELL, DANIEL W",3722,409,163000,1455,,ABANDONED - RESTORED,1988-01-28,FILE REPOSITORY (FRANCONIA),2016-11-21,,,,,,,,UNDISCOUNTED,
04589018,,Utility,"NOT, DEFINED",2401,220,271000,1808,,Patented Case,1980-01-15,FILE REPOSITORY (FRANCONIA),1995-09-06,,,,,4183442,1980-01-15,N/A,UNDISCOUNTED,
04589670,,,"NILSON, ROBERT G",3407,137,999999,1838,,Patented File - (Old Case Added for File Tracking Purposes),1984-05-29,FILE REPOSITORY (FRANCONIA),2008-01-07,,,,,,,,UNDISCOUNTED,
04639249,,,"CANNEY, VINCENT P",2305,999,999999,3603,"PH-18,256A",Patented File - (Old Case Added for File Tracking Purposes),1984-10-15,FILE REPOSITORY (FRANCONIA),2008-01-09,,,,,3435155,1969-03-25,,UNDISCOUNTED,
04651891,,,"VRABLIK, JOHN J",3403,999,143000,4106,,Patented File - (Old Case Added for File Tracking Purposes),1982-08-23,FILE REPOSITORY (FRANCONIA),1987-02-10,,,,,,,,UNDISCOUNTED,
04662907,,,"FRIEDMAN, STANLEY",1205,999,065000,4543,,Patented File - (Old Case Added for File Tracking Purposes),1982-08-27,FILE REPOSITORY (FRANCONIA),2003-05-29,,,,,,,,UNDISCOUNTED,
04569423,,,"JONES, LARRY",3405,126,343500,1191,,Patented File - (Old Case Added for File Tracking Purposes),1981-11-20,FILE REPOSITORY (FRANCONIA),2012-02-23,,,,,,,,UNDISCOUNTED,
04701794,,,"LATEEF, MARVIN M",2106,338,254000,6052,,Patented File - (Old Case Added for File Tracking Purposes),1983-12-28,FILE REPOSITORY (FRANCONIA),1986-11-21,,,,,,,,UNDISCOUNTED,
04703497,,Utility,"NOT, DEFINED",2899,XXX,XXXXXX,6120,,Patented Case,1980-02-26,FILE REPOSITORY (FRANCONIA),1995-09-15,,,,,4190431,1980-02-26,N/A,UNDISCOUNTED,
04695817,,,"HOWELL, DANIEL W",3722,409,163000,5830,,ABANDONED - RESTORED,1986-05-30,FILE REPOSITORY (FRANCONIA),2016-11-21,,,,,,,,UNDISCOUNTED,
04718088,,,"NOT, DEFINED",1306,055,159000,6735,,Patented File - (Old Case Added for File Tracking Purposes),1980-08-22,FILE REPOSITORY (FRANCONIA),2008-01-29,,,,,,,,UNDISCOUNTED,
04667624,,Utility,"CARONE, MICHAEL J",2201,089,036010,4721,,Patented Case,1996-07-26,FILE REPOSITORY (FRANCONIA),2018-09-19,,,,,H001567,1996-08-06,N/A,UNDISCOUNTED,
04640604,,,"NOT, DEFINED",3404,062,237000,3658,,Patented File - (Old Case Added for File Tracking Purposes),1984-09-05,FILE REPOSITORY (FRANCONIA),2008-01-07,,,,,,,,UNDISCOUNTED,
04776670,,,"DONAGHUE, LARRY D",2783,331,179000,9299,,Patented File - (Old Case Added for File Tracking Purposes),1988-05-12,FILE REPOSITORY (FRANCONIA),1988-11-02,,,,,3560881,1971-02-02,,UNDISCOUNTED,
04798268,,Utility,"NOT, DEFINED",2203,260,944000,1277,,Patented Case,1987-08-06,"OFFICE OF DATA MANAGEMENT - DATABASE INSPECTION BRANCH, ST-08B06, 703-308-9250",2018-11-06,,,,,H000346,1987-10-06,N/A,UNDISCOUNTED,
04814680,,,"DONAGHUE, LARRY D",2783,999,015000,2082,,Patented File - (Old Case Added for File Tracking Purposes),1988-05-12,FILE REPOSITORY (FRANCONIA),1988-08-02,,,,,3578914,1971-05-18,,UNDISCOUNTED,
04842299,,,"DONAGHUE, LARRY D",2783,999,999999,3489,,Patented File - (Old Case Added for File Tracking Purposes),1988-05-12,FILE REPOSITORY (FRANCONIA),1988-08-02,,,,,3610832,1971-10-05,,UNDISCOUNTED,
04829003,,,"DONAGHUE, LARRY D",2783,999,084000,2803,,Patented File - (Old Case Added for File Tracking Purposes),1988-05-12,FILE REPOSITORY (FRANCONIA),1988-08-02,,,,,3597551,1971-08-03,,UNDISCOUNTED,
05037177,,Utility,"TRAFTON, DAVID",2303,340,999999,2691,,Patented File - (Old Case Added for File Tracking Purposes),1980-08-08,FILE REPOSITORY (FRANCONIA),1989-04-24,,,,,,,,UNDISCOUNTED,
05098955,,Utility,"ANDERSON, HAROLD",1503,521,029000,8403,,Patented Case,1980-09-09,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,4221871,1980-09-09,N/A,UNDISCOUNTED,
05106194,,Utility,"WILL, THOMAS B",2406,033,304000,9101,,Patented File - (Old Case Added for File Tracking Purposes),1983-03-31,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,3755908,1973-09-04,PIPELINE PIG,UNDISCOUNTED,
05133437,,Utility,"SCOTT, JAMES R",2104,200,038000,2538,,Patented File - (Old Case Added for File Tracking Purposes),1982-12-10,FILE REPOSITORY (FRANCONIA),2016-08-24,,,,,,,,UNDISCOUNTED,
05158742,,Utility,"NOT, DEFINED",3404,432,120000,4704,,Patented File - (Old Case Added for File Tracking Purposes),1983-04-27,FILE REPOSITORY (FRANCONIA),2016-08-24,,,,,,,,UNDISCOUNTED,
05162022,,Utility,"NOT, DEFINED",1305,426,092000,4926,,Patented File - (Old Case Added for File Tracking Purposes),1981-04-14,FILE REPOSITORY (FRANCONIA),2008-01-29,,,,,,,,UNDISCOUNTED,
05178931,,Utility,"MORRIS, TERREL H",1771,999,151000,6122,,Patented File - (Old Case Added for File Tracking Purposes),1988-03-23,FILE REPOSITORY (FRANCONIA),2001-08-22,,,,,3770562,1973-11-06,COMPOSITE NONWOVEN FABRICS,UNDISCOUNTED,
05193702,,Utility,"NOT, DEFINED",1302,999,103000,7152,,Patented File - (Old Case Added for File Tracking Purposes),1981-08-17,FILE REPOSITORY (FRANCONIA),2016-08-25,,,,,,,,UNDISCOUNTED,
05195980,,Utility,"TAPOLCAI, WILLIAM E",3404,062,293000,7330,,Patented File - (Old Case Added for File Tracking Purposes),1983-06-13,FILE REPOSITORY (FRANCONIA),2016-08-24,,,,,,,,UNDISCOUNTED,
05206802,,Utility,"MORRIS, TERREL H",1771,999,123000,8069,,Patented File - (Old Case Added for File Tracking Purposes),1988-03-22,FILE REPOSITORY (FRANCONIA),1989-04-20,,,,,3737368,1973-06-05,NONWOVEN WIPING CLOTH,UNDISCOUNTED,
05220304,,Utility,"SEIDEL, MARIANNE C",1614,424,283000,9050,,Patented File - (Old Case Added for File Tracking Purposes),1981-05-21,FILE REPOSITORY (FRANCONIA),2003-05-29,,,,,,,,UNDISCOUNTED,
05235044,,Utility,"RAYMOND, RICHARD L",1209,260,471000,1143,,Patented File - (Old Case Added for File Tracking Purposes),1980-08-08,FILE REPOSITORY (FRANCONIA),1989-05-18,,,,,,,,UNDISCOUNTED,
05259940,,Utility,"HECKER, STUART N",2312,999,141000,3080,,Patented File - (Old Case Added for File Tracking Purposes),1988-05-06,FILE REPOSITORY (FRANCONIA),2018-11-15,,,,,3810020,1974-05-07,,UNDISCOUNTED,
05263945,,Utility,"DONAGHUE, LARRY D",2783,999,018000,3434,,Patented File - (Old Case Added for File Tracking Purposes),1988-05-06,FILE REPOSITORY (FRANCONIA),2018-11-15,,,,,3917908,1975-11-04,,UNDISCOUNTED,
05288968,,Utility,"SMITH, JERRY",2306,178,695000,5446,,Patented File - (Old Case Added for File Tracking Purposes),1981-06-02,FILE REPOSITORY (FRANCONIA),1991-05-15,,,,,3864529,1975-02-04,,UNDISCOUNTED,
05290226,,Utility,"HECKER, STUART N",2312,178,999999,5552,,Patented File - (Old Case Added for File Tracking Purposes),1988-04-28,FILE REPOSITORY (FRANCONIA),2018-11-15,,,,,3826869,1974-07-30,,UNDISCOUNTED,
05295766,,Utility,"REESE, RANDOLPH A",3102,104,166000,5989,,Patented File - (Old Case Added for File Tracking Purposes),1983-06-28,FILE REPOSITORY (FRANCONIA),2008-01-31,,,,,,,,UNDISCOUNTED,
05333119,,Utility,"HJERPE, RICHARD A",2774,340,324000,9275,,Patented Case,1985-04-22,FILE REPOSITORY (FRANCONIA),2016-08-26,,,,,,,,UNDISCOUNTED,
05328347,,Utility,"WILLIS, DAVIS L",2506,250,341000,8862,,Patented File - (Old Case Added for File Tracking Purposes),1982-03-18,FILE REPOSITORY (FRANCONIA),2008-03-11,,,,,,,,UNDISCOUNTED,
05357892,,Utility,"NOT, DEFINED",1503,260,112000,2647,,Abandoned -- Failure to Respond to an Office Action,1986-03-12,FILE REPOSITORY (FRANCONIA),2009-02-06,,,,,,,,UNDISCOUNTED,
05388761,,Utility,"COHAN, ALAN",3401,137,039000,5558,,Patented Case,1981-07-06,FILE REPOSITORY (FRANCONIA),2016-08-29,,,,,,,,UNDISCOUNTED,
05398955,,Utility,"PESELEV, ELLI",1673,536,004100,6608,,Patented File - (Old Case Added for File Tracking Purposes),1987-12-23,FILE REPOSITORY (FRANCONIA),2008-01-24,,,,,,,,UNDISCOUNTED,
05396008,,Utility,"SIMMONS, DAVID A",1724,425,141000,6324,,Patented File - (Old Case Added for File Tracking Purposes),1982-06-07,FILE REPOSITORY (FRANCONIA),2007-12-07,,,,,,,,UNDISCOUNTED,
05399365,,Utility,"DVORAK, LINDA C",3764,128,080000,6666,,Expressly Abandoned -- During Examination,1993-04-29,ELECTRONIC,,,,,,,,THERAPEUTIC LEG AND FOOT DEVICE,UNDISCOUNTED,
05415083,,Utility,"LEE, LESTER",1503,260,047000,8311,,Patented Case,1985-06-10,FILE REPOSITORY (FRANCONIA),1990-10-23,,,,,,,,UNDISCOUNTED,
05430688,,Utility,"QAZI, SABIHA NAIM",1616,260,243000,9928,,Patented Case,1987-08-31,FILE REPOSITORY (FRANCONIA),1992-05-27,,,,,,,,UNDISCOUNTED,
05433844,,Utility,"HARKCOM, GARY V",2306,235,999999,1257,,Patented File - (Old Case Added for File Tracking Purposes),1982-10-21,FILE REPOSITORY (FRANCONIA),1993-08-06,,,,,,,,UNDISCOUNTED,
05426954,,Utility,"MICHL, PAUL R",1714,260,830000,9579,,Patented File - (Old Case Added for File Tracking Purposes),1980-08-01,FILE REPOSITORY (FRANCONIA),1994-08-31,,,,,,,,UNDISCOUNTED,
05442084,,Utility,"NOT, DEFINED",2504,307,279000,2166,,Patented File - (Old Case Added for File Tracking Purposes),1981-12-16,FILE REPOSITORY (FRANCONIA),2008-01-17,,,,,,,,UNDISCOUNTED,
05474302,,Utility,"RAYMOND, RICHARD L",1624,260,570000,5777,,ABANDONED - RESTORED,1985-03-06,FILE REPOSITORY (FRANCONIA),2018-11-20,,,,,,,,UNDISCOUNTED,
05478575,,Utility,"NOT, DEFINED",2303,307,088000,6254,,Patented Case,1983-03-01,FILE REPOSITORY (FRANCONIA),1992-02-03,,,,,,,,UNDISCOUNTED,
05483037,,Utility,"HEITBRINK, JILL LYNNE",1732,264,325000,6785,,Patented Case,1989-05-30,FILE REPOSITORY (FRANCONIA),2003-07-09,,,,,,,,UNDISCOUNTED,
05485931,,Utility,"WARDEN, ROBERT J",1744,023,230000,7107,,Patented File - (Old Case Added for File Tracking Purposes),1982-05-25,FILE REPOSITORY (FRANCONIA),1999-06-10,,,,,,,,UNDISCOUNTED,
05496487,,Utility,"LARKINS, WILLIAM",2503,999,016000,8375,,Patented File - (Old Case Added for File Tracking Purposes),1982-10-06,FILE REPOSITORY (FRANCONIA),2008-12-11,,,,,,,,UNDISCOUNTED,
05494574,,Utility,"NIEBLING, JOHN F",1102,260,533000,8143,,Abandoned -- After Examiner's Answer or Board of Appeals Decision,1985-10-15,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,,UNDISCOUNTED,
05509809,,Utility,"NOT, DEFINED",1501,260,040000,9972,,Patented Case,1984-03-12,FILE REPOSITORY (FRANCONIA),1992-05-20,,,,,,,,UNDISCOUNTED,
05512613,,Utility,"HELLER, GREGORY",1103,423,300000,1300,,ABANDONED - RESTORED,1987-06-02,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,,UNDISCOUNTED,
05522856,,Utility,"CANGIALOSI, SALVATORE A",2202,380,024000,2557,,Abandoned -- Failure to Respond to an Office Action,1997-07-22,FILE REPOSITORY (FRANCONIA),2005-04-18,,,,,,,,UNDISCOUNTED,
05524254,,Utility,"CINTINS, IVARS C",1724,210,264000,2754,,Patented File - (Old Case Added for File Tracking Purposes),1986-08-18,FILE REPOSITORY (FRANCONIA),2007-12-06,,,,,,,,UNDISCOUNTED,
05524486,,Utility,"LACEY, DAVID LYNN",1304,023,288000,2784,,Patented File - (Old Case Added for File Tracking Purposes),1985-03-01,FILE REPOSITORY (FRANCONIA),2016-08-31,,,,,,,,UNDISCOUNTED,
05530083,,Utility,"NOT, DEFINED",3404,432,253000,3525,,Patented File - (Old Case Added for File Tracking Purposes),1983-02-23,FILE REPOSITORY (FRANCONIA),2016-08-29,,,,,,,,UNDISCOUNTED,
05537090,,Utility,"MILLER JR, GEORGE",2106,177,211000,4445,,Patented Case,1981-04-14,FILE REPOSITORY (FRANCONIA),1991-06-18,,,,,,,,UNDISCOUNTED,
05544393,,Utility,"NOT, DEFINED",3404,432,121000,5423,,Patented File - (Old Case Added for File Tracking Purposes),1983-02-23,FILE REPOSITORY (FRANCONIA),2008-01-16,,,,,,,,UNDISCOUNTED,
