application_number,child_application_number,child_filing_date
02262037,59997901,2018-01-01
02262037,59997150,2018-01-01
02262037,59596202,2018-01-01
02262037,59966865,2018-01-01
02262037,59966878,2018-01-01
02262037,59973267,2018-01-01
02262037,59966946,2018-01-01
02262037,59971230,2018-01-01
02262037,59972131,2018-01-01
02262037,59972138,2018-01-01
02262037,59972144,2018-01-01
02262037,59972275,2018-01-01
02262037,59972302,2018-01-01
03333576,05181185,1971-09-16
03476306,05181185,1971-09-16
03562595,90000467,1983-11-14
03580410,90000052,1981-08-12
03450131,90001634,1988-11-03
03450131,90001707,1989-02-03
03580411,90000052,1981-08-12
03568707,06198832,1980-10-20
03568707,90000729,1985-02-26
03665109,90000467,1983-11-14
03634860,05959435,1978-11-09
03544991,07363121,1989-06-08
03544991,07770601,1991-10-02
03544991,07719964,1991-06-24
03544991,07820563,1992-01-14
03544991,07848220,1992-03-10
03544991,07820551,1992-01-14
03679552,05959435,1978-11-09
03515417,90001606,1988-09-26
03515417,07363121,1989-06-08
03515417,90001607,1988-09-26
03515417,90001608,1988-09-26
03515417,07719964,1991-06-24
03515417,07770601,1991-10-02
03515417,07820563,1992-01-14
03515417,07848220,1992-03-10
03515417,07820551,1992-01-14
03749583,90000468,1983-11-14
03632416,06198832,1980-10-20
03632416,90000729,1985-02-26
03632416,90001604,1988-09-21
03527413,90001355,1987-10-16
03804539,90000253,1982-09-09
03804539,90000254,1982-09-09
03804539,90000336,1983-03-04
03826370,90001707,1989-02-03
03855477,90001804,1989-06-30
03734340,90002867,1992-10-29
03734340,90003288,1993-12-23
03734340,05950017,1978-10-10
03734340,90002868,1992-10-29
03734340,06921268,1986-10-21
03734340,90002869,1992-10-29
03734340,08141200,1993-10-21
03804540,05823611,1977-08-11
03804540,05840050,1977-10-06
03804540,90000253,1982-09-09
03804540,90000254,1982-09-09
03804540,90000336,1983-03-04
03804540,05869831,1978-01-16
03804540,90000253,1982-09-09
03804540,90000254,1982-09-09
03804540,90000263,1982-09-29
03804540,90000289,1982-11-17
03804540,90000336,1983-03-04
04024882,90000236,1982-08-02
04051754,90001804,1989-06-30
03337899,05697189,1976-06-17
03337899,05852347,1977-11-17
03337899,06117598,1980-02-01
03831599,90001049,1986-07-02
03831599,90002037,1990-06-04
