application_number,parent_application_number,parent_filing_date,continuation_type
05354590,05101449,1970-12-28,CON
06300460,06029840,1979-04-13,CON
07965267,PCT/SE91/00506,1991-07-25,NST
08211955,PCT/US94/00199,1994-01-05,NST
08379649,PCT/US94/09999,1994-12-16,NST
08392957,PCT/US94/13245,1994-11-22,NST
08564130,PCT/US95/16242,1995-10-14,NST
08464759,PCT/US94/08244,1994-07-22,NST
08433467,PCT/US94/13541,1994-11-22,NST
08030312,PCT/DK91/00275,1991-09-17,NST
08330055,08155665,1993-11-22,DIV
08663086,PCT/AU94/00629,1994-10-17,NST
08696936,PCT/US96/10981,1996-06-27,NST
08666423,PCT/ES95/00118,1995-10-30,NST
08676376,PCT/EP95/00493,1995-02-10,NST
08737187,PCT/FR96/00387,1996-03-13,NST
08765256,PCT/IB94/00120,1994-06-16,NST
08765249,PCT/US96/16379,1996-10-10,NST
08817473,PCT/US97/01487,1997-01-29,NST
08860568,PCT/JP95/02706,1995-12-26,NST
08860297,PCT/EP96/04570,1996-10-22,NST
08834916,08247232,1994-05-23,CON
08809979,PCT/US95/13122,1995-10-03,NST
08860030,PCT/US95/04306,1995-04-07,NST
08875313,PCT/IB96/00160,1996-03-04,NST
08809458,PCT/FR95/01401,1995-10-24,NST
08954154,08413221,1995-03-30,CIP
08793324,PCT/EP95/03532,1995-09-08,NST
08973928,PCT/EP96/02574,1996-06-11,NST
08973777,PCT/EP96/03104,1996-07-10,NST
08983303,PCT/NL96/00268,1996-06-28,NST
08981131,PCT/JP97/00335,1997-02-10,NST
09011076,PCT/EP97/02800,1997-05-29,NST
08983418,PCT/GB96/01708,1996-07-17,NST
09000422,PCT/US96/13690,1996-08-23,NST
08973064,PCT/EP96/02222,1995-05-26,NST
09000269,PCT/GB96/01814,1996-07-29,NST
08817272,PCT/US95/13042,1995-09-29,NST
08817272,08315902,1994-09-30,CIP
08817272,08370898,1995-01-10,CIP
08817272,08315902,1994-09-30,CON
09011584,PCT/AU97/00360,1998-02-10,NST
09029168,PCT/DK95/00230,1996-12-09,NST
09029511,PCT/GB96/02094,1996-08-30,NST
09011806,PCT/IB95/00627,1995-07-21,NST
09029907,PCT/CA96/00598,1996-09-06,NST
09011446,PCT/DE96/01416,1996-07-30,NST
09029751,PCT/NL96/00342,1996-08-29,NST
09043084,PCT/IB96/00668,1996-07-11,NST
09043451,PCT/CA96/00630,1996-09-20,NST
09029917,PCT/US96/14709,1996-09-11,NST
09043826,PCT/EP96/05397,1996-12-04,NST
09051017,PCT/US96/14278,1996-09-06,NST
09051704,PCT/US98/07656,1998-04-07,NST
09065109,PCT/NL96/00417,1996-10-25,NST
09091428,PCT/EP96/05439,1996-12-05,NST
09043261,PCT/US95/10641,1995-08-18,NST
09065072,PCT/DE96/01547,1996-08-21,NST
09077726,PCT/EP96/05050,1996-11-16,NST
09077677,PCT/EP96/05415,1996-12-04,NST
09091438,PCT/US96/20169,1996-12-17,NST
09000434,PCT/US96/04931,1996-04-11,NST
09091439,PCT/US96/20170,1996-12-17,NST
09091543,PCT/CA96/00856,1996-12-20,NST
09091619,PCT/GB96/03149,1996-12-19,NST
08715084,07998606,1992-12-30,REI
09091726,PCT/DE97/02434,1997-10-22,NST
09101051,PCT/SE97/01783,1997-10-24,NST
09091738,PCT/BE97/00091,1997-08-14,NST
08973560,PCT/NL96/00239,1996-06-13,NST
09101278,PCT/EP96/04908,1996-11-09,NST
09101558,PCT/DE97/00057,1997-01-09,NST
09117375,PCT/US95/07456,1995-06-13,NST
09101170,PCT/EP97/06093,1997-11-04,NST
09117926,PCT/EP97/00647,1997-02-12,NST
09117716,PCT/GB97/00319,1997-02-05,NST
09117991,PCT/EP97/00597,1997-02-10,NST
09125877,PCT/EP97/00920,1997-02-26,NST
09125468,PCT/EP97/00602,1997-02-10,NST
09125931,PCT/US97/08087,1994-07-13,NST
09142020,PCT/US97/03217,1997-02-28,NST
09142299,PCT/US98/18460,1998-09-03,NST
09142284,PCT/AU97/00136,1997-03-07,NST
09142532,PCT/FR97/00393,1997-03-05,NST
09117064,PCT/AU96/00792,1996-12-09,NST
09117765,PCT/GB97/00354,1997-02-06,NST
09068213,PCT/US96/17471,1996-11-01,NST
09142883,PCT/US97/04516,1997-03-20,NST
09142792,PCT/RU97/00065,1997-03-14,NST
09117343,PCT/US97/01799,1997-02-04,NST
09117488,PCT/US97/21853,1997-11-26,NST
09147146,PCT/GB97/01060,1997-04-16,NST
09117199,PCT/DE97/00130,1997-01-17,NST
09101580,PCT/GB97/00053,1997-01-08,NST
09101054,PCT/RU96/00350,1996-12-18,NST
09147272,PCT/EP98/01594,1998-03-19,NST
09155144,PCT/EP97/01422,1997-03-20,NST
09147452,PCT/EP97/03332,1997-06-25,NST
09155402,PCT/FR97/00172,1997-01-29,NST
09101448,PCT/EP96/05830,1996-12-23,NST
09091926,PCT/CN98/00035,1998-03-12,NST
09171144,PCT/CH97/00135,1997-04-03,NST
09171449,PCT/DE97/00658,1997-04-01,NST
09160474,PCT/AU97/00181,1997-03-19,NST
09171101,PCT/GB97/01033,1997-04-14,NST
09171568,PCT/GB97/01045,1997-04-15,NST
09171800,PCT/JP97/01480,1997-04-25,NST
09171408,PCT/GB98/00318,1998-02-02,NST
09180387,PCT/RU97/00133,1997-04-30,NST
09180830,PCT/US97/08310,1997-05-15,NST
09180922,PCT/US97/08441,1997-05-16,NST
09179758,PCT/US98/03845,1998-02-27,NST
09179758,60039280,1997-02-28,PRO
09180910,PCT/US97/08279,1997-05-16,NST
09180912,PCT/US97/08443,1997-05-16,NST
09180911,PCT/US97/08440,1997-05-16,NST
09180914,PCT/US97/08316,1997-05-16,NST
09091766,PCT/NZ96/00145,1996-12-20,NST
09091914,PCT/CN98/00037,1998-03-12,NST
09180917,PCT/US97/08445,1997-05-16,NST
09011148,PCT/JP96/01899,1996-07-09,NST
09068349,PCT/GB96/02611,1996-10-28,NST
09043946,PCT/EP96/01552,1996-08-21,NST
09180962,PCT/US97/08439,1997-05-16,NST
08983058,PCT/DE96/01229,1996-07-04,NST
08662531,08521786,1995-08-31,DIV
08662531,08042906,1993-04-05,REI
09180959,PCT/US97/08315,1997-05-16,NST
08682501,PCT/DE94/00042,1994-01-14,NST
08709377,PCT/EP95/00783,1995-03-03,NST
08522419,PCT/US95/00927,1995-08-25,NST
07098353,06875139,1986-06-17,CIP
09194287,PCT/NL97/00280,1997-05-20,NST
08397222,PCT/US95/03151,1995-02-28,NST
09194546,PCT/EP97/02580,1997-05-21,NST
09194081,PCT/AU97/00316,1997-05-22,NST
09202151,PCT/EP97/03037,1997-06-11,NST
09202236,PCT/US97/11127,1997-06-25,NST
09202166,PCT/US98/13193,1998-06-25,NST
07663952,PCT/JP90/00909,1990-07-13,NST
09202296,PCT/GB97/01622,1997-06-16,NST
09202612,PCT/FI97/00313,1997-05-26,NST
09214142,PCT/GB97/01740,1997-06-26,NST
09202792,PCT/EP97/03355,1997-06-26,NST
09202563,PCT/JP98/01616,1998-04-08,NST
09202623,PCT/US97/10425,1997-06-13,NST
09214558,PCT/FR97/02320,1997-12-17,NST
09214557,PCT/FR97/02321,1997-12-17,NST
09214860,PCT/DE97/01526,1997-07-21,NST
09214817,PCT/US97/12261,1997-07-09,NST
09214995,PCT/US97/19196,1997-10-23,NST
09202099,PCT/GB97/01505,1997-06-04,NST
09230627,PCT/EP97/04039,1997-07-24,NST
09214509,PCT/CA97/00107,1997-02-14,NST
09230337,PCT/EP98/05101,1998-08-12,NST
09230437,PCT/US97/10937,1997-07-16,NST
09242157,PCT/EP97/04290,1997-08-06,NST
09230843,PCT/GB97/02067,1997-07-30,NST
09230736,PCT/GB97/02052,1997-08-01,NST
09242021,PCT/EP97/04216,1997-08-01,NST
09230492,PCT/EP97/04201,1997-08-01,NST
09242390,PCT/US97/12948,1997-07-30,NST
09242531,PCT/FR98/01279,1998-06-17,NST
09242608,PCT/SE98/01947,1998-10-27,NST
09242725,PCT/US97/14742,1997-08-21,NST
09254155,PCT/GB97/02278,1997-08-26,NST
09242564,PCT/AU98/00526,1998-07-08,NST
09254299,PCT/US97/15475,1997-09-03,NST
