event_code,description
102P,102P
133P,133P
1744,Record that the application has been reactivated.
1750,Record withdrawal of an application by the applicant.
203I,203I
206E,206E  
206I,206I
206R,206R  
2091,Disposal Flag Change
2093,Intermediate Flag Change
210B,210B  
210E,210E  
210I,210I
210L,210L  
210R,210R  
2509,Reconstruction Notice no longer required
2510,Reconstruction Notice under 37 CFR 1.251 - Pending Application
2513,Response to 37 CFR 1.251 Notice - Papers Provided for File Reconstruction
2CCC,PCT forwarded to CCC
371COMP,371 Completion Date
A...,Response after Non-Final Action
A.I.,Informal or Non-Responsive Amendment after Examiner Action
A.IR,Amendment or Request for Reconsideration after Final Rejection
A.IX,Withdraw of Informal Amendment Notice
A.LA,Untimely (Late) Amendment Filed
A.NA,Amendment after Notice of Allowance (Rule 312)
A.NE,Response after Final Action
A.NQ,Amendment Crossed in Mail
A.NR,Non-Responsive Amendment after Non-Final Action
A.PE,Preliminary Amendment
A.QU,Response after Ex Parte Quayle Action
A.TA,Telegraphic Amendment or Request for Reconsideration
A/RR,Request for Reconsideration and/or Argument after Non-Final Action
A371,Applicant 371 Filing Paper Received
AABR,Amendment After Brief
AAF.,Response to Final Rejection
AB11,X-Post-Legal Complete Abandonment
AB15,X-Post-Legal Complete Abandonment
AB16,X-Post-Legal Complete Abandonment
AB17,X-Post-Legal Complete Abandonment
AB18,X-Post-Legal Complete Abandonment
AB19,X-Post-Legal Complete Abandonment
AB20,X-Post-Legal Complete Abandonment
AB22,X-Post-Legal Complete Abandonment
AB23,X-Post-Legal Complete Abandonment
AB25,X-Post-Legal Complete Abandonment
AB26,X-Post-Legal Complete Abandonment
AB28,X-Post-Legal Complete Abandonment
AB32,X-Post-Legal Complete Abandonment
ABN/,Abandonment -- Inc. Application under Rule 53(b) - Filing Fee Not Paid
ABN1,Abandonment -- Incomplete Application - Preexam
ABN10,Abandonment after Examiner's Answer or PTAB Decision
ABN11, Withdraw from Issue for Express Abandonment
ABN2,Aband. for Failure to Respond to O. A.
ABN3,Express Abandonment (during Examination)
ABN4,Express Abandonment after Allowance
ABN5,Aband. Recorded after Prior Disposal
ABN6,Abandonment for Failure to Pay Issue Fee
ABN7,Abandonment for Failure to Correct Drawings/Oath/NonPub Request
ABN8,Abandonment -- Failure to Respond to 30-Day Property Rights Letter
ABN9,Disposal for a RCE / CPA / R129
ABNC,Abandonment -- Failure to Comply with Sequence Rules
ABNF,Abandonment -- Inc. Application under Rule 53(b) - Filing Fee Paid
ABNP,Preexam Abandonment
ABNX,Abandonment -- During Preexam Processing
AC11,X-Pre-Legal Complete Amended Case
AC15,X-Pre-Legal Complete Amended Case
AC16,X-Pre-Legal Complete Amended Case
AC17,X-Pre-Legal Complete Amended Case
AC18,X-Pre-Legal Complete Amended Case
AC19,X-Pre-Legal Complete Amended Case
AC20,X-Pre-Legal Complete Amended Case
AC22,X-Pre-Legal Complete Amended Case
AC23,X-Pre-Legal Complete Amended Case
AC25,X-Pre-Legal Complete Amended Case
AC26,X-Pre-Legal Complete Amended Case
AC27,X-Pre-Legal Complete Amended Case
AC28,X-Pre-Legal Complete Amended Case
AC32,X-Pre-Legal Complete Amended Case
AC33,X-Pre-Legal Complete Amended Case
AC34,X-Pre-Legal Complete Amended Case
ACKN,ACKN
ACKNAHA,I.B. Acknowledged Receipt of Notice of Allowance (Hague)
ACPA,Continuing Prosecution Application - Continuation (ACPA)
ACRF,Response to a Letter to Comply with the Sequence Rules
ADDDWRG,Omitted Drawing Sheets (Changes Filing Date)
ADDFLFEE,Additional Application Filing Fees
ADDSPEC,Omitted Specification Pages (Changes Filing Date)
ADV.,Advisory Action Mailed
AEOV,Accelerated Exam Over  
AERQ,Accelerated Examination Request
AF/D,Affidavit(s) (Rule 131 or 132) or Exhibit(s) Received
AFAC,After Final Consideration Program Additional Consideration and/or updated search
AFIR,After Final Consideration Program Improper Request
AFNE,After Final Consideration Program Amendment too Extensive
AFWC,Abandonment for Purposes of Filing an FWC - File Combined with Child Application
AGYL,Letter from FDA or Dept of Agriculture re PTE application
AISP,Suspension Letter- Applicant Initiated
AL11,X-Post-Legal Complete Allowance
AL15,X-Post-Legal Complete Allowance
AL16,X-Post-Legal Complete Allowance
AL17,X-Post-Legal Complete Allowance
AL18,X-Post-Legal Complete Allowance
AL19,X-Post-Legal Complete Allowance
AL20,X-Post-Legal Complete Allowance
AL22,X-Post-Legal Complete Allowance
AL23,X-Post-Legal Complete Allowance
AL25,X-Post-Legal Complete Allowance
AL26,X-Post-Legal Complete Allowance
AL27,X-Post-Legal Complete Allowance
AL28,X-Post-Legal Complete Allowance
AL32,X-Post-Legal Complete Allowance
AL33,X-Post-Legal Complete Allowance
ANOT,Notice of Allowability
AP..,Protestor's Response to Non-Final Rejection
AP.A,Amendment / Argument after PTAB Decision
AP.B,Appeal Brief Filed
AP.C,Request for Pre-Appeal Conference Filed
AP.C3,Request for Pre-Appeal Conf. 3 Path
AP.R,PTAB Remand to the Examiner
AP/A,Amendment/Argument after Notice of Appeal
AP/W,Request to Withdraw Appeal by Appellant
APAF,AFFIDAVIT(S)/DECLARATION(S) OR EXHIBIT(S) AFTER NOTICE OF APPEAL (PRIOR TO PTAB DECISION)
APAM,Amendment to the 41.50
APAR,PTAB Administrator Remand to the Examiner
APAS,Assignment of Appeal Number
APBD,Notice  --  Defective Appeal Brief
APBI,Defective / Incomplete Appeal Brief Filed
APBP,Appeal Brief Filed by Protestor
APBR,Appeal Brief Review Complete
APCA,Pre-Appeal Conference Decision - Rejection Withdrawn
APCD,Pre-Appeal Conference Decision - Request Defective
APCH,Confirmation of Hearing by Appellant
APCP,Pre-Appeal Conference Decision - Proceed to PTAB
APCR,Pre-Appeal Conference Decision - Reopen Prosecution
APCTH,Confirmation of Telephonic Hearing
APCVH,Confirmation of Video Hearing
APD1,Dec on Reconsideration - Denied
APD2,Dec on Reconsideration - Granted
APD3,Dec on Reconsideration - Granted in Part
APDA,PTAB Decision - Examiner Affirmed
APDP,PTAB Decision - Examiner Affirmed in Part
APDR,PTAB Decision - Examiner Reversed
APDS,Appeal Dismissed
APDS.NGR,Appeal Dismissed - No response to NGR PTAB Decision
APDT,PTAB Order for additional briefing or information
APDTH,Decision Denying Telephonic Hearing
APDVH,Decision Denying Video Hearing
APDW,PTAB Decision vacating the previous decision
APE2,2nd or Subsequent Examiner's Answer to Appeal Brief
APEA,Examiner's Answer to Appeal Brief
APFC,Appeal to a district or Federal Court filed with the PTAB
APFD,Final Decision
APGTH,Decision Granting Telephonic Hearing
APGVH,Decision Granting Video Hearing
APHC,Hearing Completed
APHT,PTAB Oral Hearing Transcript
APLD,Notification of Appeal Dismissal
APLR,Notification of Appeal ReinStatement
APLW,PTAB Appeal Dismissed / Withdrawn
APND,Notice  --  Defective Notice of Appeal
APNH,Notification of Appeal Hearing
APNH.CA,"Notification Of Appeal Hearing- Silicon Valley, CA"
APNH.CO,"Notification Of Appeal Hearing- Denver, CO"
APNH.MI,"Notification Of Appeal Hearing- Detroit, MI"
APNH.TX,"Notification Of Appeal Hearing- Dallas, TX"
APNH.VA,"Notification Of Appeal Hearing -Alexandria, VA"
APNR,Advisory on Non-Entry of Reply Brief
APOC,Order of Compliance
APOC_R,Applicant Response to Order
APOH,Request for Oral Hearing
APPD,Hearing Postponement Denied
APPERMS,Applicants have given acceptable permission for participating foreign 
APPG,Hearing Postponement Granted
APPH,Postponement of Oral Hearing Request
APPL,APPL
APPR,PTAB Panel Remand to the Examiner
APRB,Reply Brief Filed
APRD,Order Returning Undocketed Appeal to the Examiner
APRO,Applicant's Response to Protest
APRR,Request for Reconsideration of Appeal Dec
APRS,Application Made Available for Examination
APRT,Case Returned from Examiner
APSD,Supplement Decision
APWD,Appeal Awaiting PTAB Docketing
APWH,Waiver of Hearing by Appellant
APXG,Request for Extension of Time - Granted
AP_DK_M,Docketing Notice Mailed to Appellant
AP_RRSP,Restart Response of PTAB action
ARAP,Application returned by APJ
ARBP,Appeal ready for PAC review
ARPB,ARPB
ARPR,ARPR
ASGMT,"The identification of one or more legal entities other than the inventor(s), each such legal entity "
ASIR,Approval of SIR Request
B312,Workflow - 312 Amendment - Begin
BATY,Workflow - Power of Attorney - Begin
BCPA,Workflow - Request for CPA - Begin
BD.A,Amendment/Argument after PTAB Decision
BDRR,Request for Reconsideration of PTAB Decision
BIDS,Workflow - Informational Disclosure Statement - Begin
BIG.,Entity Status Set To Undiscounted (Initial Default Setting or Status Change)
BNTF,Begin Notification to File Corrected Application Papers
BPET,Workflow - Petition - Begin
BRCE,Workflow - Request for RCE - Begin
C.AD,Correspondence Address Change
C.ADB,Correspondence Address Change
C/MK,Request to Make of Record Noted Concerns in Granted Patent
C/N=,Corrected Notice of Allowance
C/NP,Corrected Notice of Allowance for PTA
C/NW,Corrected Notice of Allowance
C/R.,Request for Reconsideration / Clarification
C105,Response to Rule 105 Communication
C105-D,Requirement under Rule 105 Included with Office Action
C105-D-P,Rule 105 after Allowance with Other Communication
C105-I,"Rule 105, Independent Communication"
