application_number,foreign_parent_id,foreign_parent_date,parent_country
08030312,2297/90,1990-09-24,DENMARK
08793324,P 44 33 047.2,1994-09-16,GERMANY
08973064,95107719.9,1995-05-26,UNITED KINGDOM
09011806,110464,1994-07-26,ISRAEL
09029751,1001121,1995-09-01,NETHERLANDS
09117064,PO 2720,1995-12-07,AUSTRALIA
09117064,PO 4008,1996-05-31,AUSTRALIA
09117064,PN 7009,1996-10-02,AUSTRALIA
09092710,19630 A/87,1987-03-09,ITALY
09160474,PN8752,1996-03-19,AUSTRALIA
09011148,7/174778,1995-07-11,JAPAN
07098353,P35 23 540.3,1985-07-02,GERMANY
07663952,180471/1989,1989-07-14,JAPAN
07663952,180472/1989,1989-07-14,JAPAN
07663952,180473/1989,1989-07-14,JAPAN
07663952,241929/1989,1989-09-20,JAPAN
07663952,325870/1989,1989-12-18,JAPAN
07663952,140011/1990,1990-05-31,JAPAN
09202099,9612162.9,1996-06-11,UNITED KINGDOM
09202099,9612163.7,1996-06-11,UNITED KINGDOM
09242564,PO 1724,1996-08-19,AUSTRALIA
09242564,PO 4708,1997-01-20,AUSTRALIA
09224275,HEI 4-83551,1992-04-06,JAPAN
09224275,HEI 4-198161,1992-07-24,JAPAN
09284298,82/96,1996-10-03,CUBA
09319408,9625443.8,1996-12-06,UNITED KINGDOM
09355899,PCT/GB98/00240,1998-02-05,UNITED KINGDOM
09381210,1637397,1997-03-19,AUSTRALIA
09380925,S970189,1997-03-13,IRELAND
09155835,197 04 104.3,1997-02-04,GERMANY
09159726,44 20 877.4,1994-06-15,GERMANY
09403819,PO 6529,1997-04-30,AUSTRALIA
09428462,198 49 690.7,1998-10-28,GERMANY
09428462,199 22 972.4,1999-05-19,GERMANY
09445866,9807726.6,1998-04-14,UNITED KINGDOM
09463210,PP 1508,1998-01-27,AUSTRALIA
09463347,2211293,1997-07-23,CANADA
09486738,9718185.3,1997-08-29,UNITED KINGDOM
09486297,1006862,1997-08-27,NETHERLANDS
09486737,97/11105,1997-09-03,FRANCE
09487968,9900072-1,1999-10-04,SWEDEN
09284322,8-297738,1996-10-21,JAPAN
09463807,9716151.7,1997-08-01,UNITED KINGDOM
09510668,6-249859,1994-10-14,JAPAN
09529014,P 9801696,1998-08-06,SPAIN
09530230,97/13449,1997-10-27,FRANCE
09462449,60053362,1997-07-22,UNITED STATES OF AMERICA
09582574,9727165.4,1997-12-24,UNITED KINGDOM
09582397,10-304085,1998-10-26,JAPAN
09622746,9901339-3,1999-04-15,SWEDEN
09622770,9803749.2,1998-02-23,UNITED KINGDOM
09623769,97108639,1997-06-09,RUSSIAN FEDERATION
09623864,198 11 203.3,1998-03-10,GERMANY
09554928,97/15192,1997-11-28,FRANCE
09601437,198 03 530.6,1998-01-30,GERMANY
09673020,98302785.5,1998-04-09,EUROPEAN PATENT OFFICE (EPO)
09673577,198 17 235.4,1998-04-18,GERMANY
09674390,A 350/99,1999-03-02,AUSTRIA
09529846,9722128.7,1997-10-21,UNITED KINGDOM
09700225,198 21 695.5,1998-05-14,GERMANY
09674713,9809603.5,1998-05-07,UNITED KINGDOM
09700153,PP3486,1998-05-12,AUSTRALIA
09700153,PP5590,1998-08-31,AUSTRALIA
09678513,PA 1999 01473,1999-10-14,DENMARK
09700457,9810537.2,1998-05-15,UNITED KINGDOM
09700457,9816945.1,1998-08-04,UNITED KINGDOM
09700250,98/06090,1998-05-14,FRANCE
09701533,9811503.3,1998-05-28,UNITED KINGDOM
09701954,198 24 997.7,1998-06-05,GERMANY
09720040,9813584.1,1998-06-24,UNITED KINGDOM
09720125,9813699.3,1998-06-26,UNITED KINGDOM
09720315,198 28 577. 9,1998-06-26,GERMANY
09701757,198 24 742. 7,1998-06-03,GERMANY
09719381,9814199.7,1998-06-30,UNITED KINGDOM
09674929,11-061283,1999-03-09,JAPAN
09743018,PP4603,1998-07-10,AUSTRALIA
09744718,"2,273,570",1999-05-31,CANADA
09744837,PCT/US98/15873,1998-07-30,UNITED STATES OF AMERICA
09762403,9817196.0,1998-08-07,UNITED KINGDOM
