application_number,pta_sequence_number,pta_event_date,pta_event_desc,applicant_delay_duration,uspto_delay_duration,start_pta_sequence_number,term_extension_indicator
09068213,,2002-12-02,Mail Notice of Allowance,0,0,,1
09068213,,2002-12-02,Mail Formal Drawings Required,0,0,,1
09068213,,2002-12-02,Formal Drawings Required,0,0,,1
09068213,,2002-12-02,Notice of Allowance Data Verification Completed,0,0,,1
09068213,,2002-10-29,New or Additional Drawing Filed,0,0,,1
09068213,,2002-11-14,Date Forwarded to Examiner,0,0,,1
09068213,,2002-10-29,Response after Final Action,0,0,,1
09068213,,2002-10-29,Request for Extension of Time - Granted,0,0,,1
09068213,,2002-07-02,Mail Final Rejection (PTOL - 326),0,0,,1
09068213,,2002-07-02,Mail Notification of Terminal Disclaimer - Accepted,0,0,,1
09068213,,2002-05-23,Notification of Terminal Disclaimer - Accepted,0,0,,1
09068213,,2002-01-30,Terminal Disclaimer Filed,0,0,,1
09068213,,2002-05-20,Final Rejection,0,0,,1
09068213,,2002-02-28,Date Forwarded to Examiner,0,0,,1
09068213,,2002-01-30,Response after Non-Final Action,0,0,,1
09068213,,2001-10-11,Mail Non-Final Rejection,0,0,,1
09068213,,2001-10-01,Non-Final Rejection,0,0,,1
09068213,,2001-07-26,Supplemental Papers - Oath or Declaration,0,0,,1
09068213,,2001-07-26,Request for Extension of Time - Granted,0,0,,1
09068213,,2001-08-28,Case Docketed to Examiner in GAU,0,0,,1
09068213,,2001-03-12,Notice of DO/EO Missing Requirements Mailed,0,0,,1
09068213,,2001-02-27,Mail-Petition Decision - Granted,0,0,,1
09068213,,2000-11-27,Petition Entered,0,0,,1
09068213,,2000-10-02,Mail-Petition Decision - Dismissed,0,0,,1
09068213,,2000-04-19,Petition Entered,0,0,,1
09068213,,1998-05-11,Initial Exam Team nn,0,0,,1
09068213,,2000-03-14,Correspondence Address Change,0,0,,1
09068213,,2000-02-24,Notice of DO/EO Abandonment Mailed.,0,0,,1
09068213,,2000-01-31,Applicant 371 Filing Paper Received,0,0,,1
09068213,,2000-02-14,Mail-Petition Decision - Dismissed,0,0,,1
09068213,,2000-01-31,Petition Entered,0,0,,1
09068213,,1998-07-17,Notice of DO/EO Missing Requirements Mailed,0,0,,1
09068213,,1998-05-26,371 Application Preexamination Docketing,0,0,,1
09068213,,1998-05-13,371 Application Preexamination Docketing,0,0,,1
09068213,,1998-05-11,IB Paper Match,0,0,,1
09601531,,2002-09-10,Mail Notice of Allowance,0,0,,1
09601531,,2002-09-09,Notice of Allowance Data Verification Completed,0,0,,1
09601531,,2002-08-30,Date Forwarded to Examiner,0,0,,1
09601531,,2002-08-28,Response after Ex Parte Quayle Action,0,0,,1
09601531,,2002-07-03,Mail Ex Parte Quayle Action (PTOL - 326),0,0,,1
09601531,,2002-07-01,Quayle action,0,0,,1
09601531,,2001-02-02,Information Disclosure Statement (IDS) Filed,0,0,,1
