application_number,pto_delay_a,pto_delay_b,pto_delay_c,overlap_pto_delay,nonoverlap_pto_delay,pto_manual_adjustment,applicant_delay,patent_term_adjustment
09743549,0,0,0,0,0,0,0,0
10189030,66,0,0,0,66,0,30,36
10424329,0,0,0,0,0,0,0,0
10510577,62,0,0,0,62,0,0,62
10558109,0,0,0,0,0,0,131,0
12087181,638,0,0,0,638,0,14,624
12299649,389,0,0,0,389,0,0,389
04171318,168,0,0,0,168,0,0,168
07153880,485,0,0,0,485,0,129,356
07702615,0,0,0,0,45,0,243,0
07713529,0,0,0,0,0,0,4,0
07759865,0,0,0,0,0,0,57,0
07770054,443,79,0,0,522,0,92,430
07801207,18,0,0,0,18,0,146,0
07813733,225,0,0,0,225,0,50,175
07848856,474,0,0,0,474,0,70,404
07851810,0,0,0,0,0,0,0,0
07852132,0,0,0,0,164,0,120,44
07881866,0,0,0,0,0,0,191,0
07842391,649,0,0,0,649,1414,366,1697
07893071,0,0,0,0,30,0,219,0
07893554,0,0,0,0,0,0,797,0
07904562,0,0,0,0,201,0,220,0
07908172,0,0,0,0,0,0,112,0
07922996,0,0,0,0,82,0,0,82
07939720,0,0,0,0,0,0,89,0
07946538,0,0,0,0,0,0,166,0
07957106,0,0,0,0,0,0,0,0
07959126,0,0,0,0,0,0,331,0
07966607,11,0,0,0,11,0,138,0
07967412,0,0,0,0,240,0,120,120
08002528,95,0,0,0,139,0,219,0
08007093,236,0,0,0,268,0,226,42
08010912,0,0,0,0,0,0,0,0
08012269,0,0,0,0,0,0,67,0
08013054,0,0,0,0,10,0,205,0
08014867,0,0,0,0,10,0,0,10
08021104,0,0,0,0,19,0,159,0
08022199,0,0,0,0,54,0,120,0
08026681,0,0,0,0,0,0,0,0
08034230,0,0,0,0,0,0,95,0
08035443,0,0,0,0,0,0,63,0
08044549,0,0,0,0,0,0,0,0
08039211,0,0,0,0,0,0,62,0
08062736,0,0,0,0,0,0,150,0
08064145,0,0,0,0,0,0,154,0
08069867,0,0,0,0,0,0,0,0
08070859,0,0,0,0,0,0,34,0
08072807,0,0,0,0,0,0,0,0
08075774,0,0,0,0,0,0,0,0
08076785,350,0,0,0,350,0,120,230
08076784,0,0,0,0,0,0,208,0
08077599,0,0,0,0,0,0,48,0
08082120,133,0,0,0,133,0,62,71
08091957,0,0,0,0,0,0,0,0
08095348,0,0,0,0,0,0,189,0
08097183,155,0,0,0,155,0,223,0
08107661,0,0,0,0,0,0,0,0
08110161,0,0,0,0,0,0,175,0
08116305,0,0,0,0,0,0,56,0
08120305,0,0,0,0,0,0,112,0
08121365,0,0,0,0,0,0,53,0
08121255,0,0,0,0,0,0,113,0
08131037,0,0,0,0,141,-141,0,0
08098325,0,0,0,0,0,0,88,0
07916072,0,0,0,0,29,0,125,0
08107854,157,0,0,0,209,0,372,0
08141632,0,0,0,0,11,0,120,0
08146334,0,0,0,0,0,0,64,0
08150550,58,0,0,0,58,0,182,0
08153239,0,0,0,0,18,0,0,18
08153847,0,0,0,0,54,-17,37,0
08159461,673,0,0,0,673,0,63,610
08160379,0,0,0,0,0,0,88,0
08160290,0,0,0,0,16,0,120,0
08161082,0,0,0,0,0,0,120,0
08164598,0,0,0,0,0,0,63,0
08164821,0,0,0,0,0,0,0,0
08167394,958,0,0,0,958,0,58,900
08167581,0,0,0,0,0,0,0,0
08169918,0,0,0,0,0,0,105,0
08172466,0,0,0,0,0,0,0,0
08176914,0,0,0,0,0,0,181,0
08180912,0,0,0,0,5,0,128,0
08181621,0,0,0,0,0,0,35,0
08181708,0,0,0,0,0,0,62,0
08182616,0,0,0,0,0,0,106,0
08182975,0,0,0,0,0,0,58,0
08185304,0,0,0,0,0,0,56,0
08185229,0,0,0,0,0,0,95,0
08187757,0,0,0,0,0,0,62,0
08188145,0,0,0,0,0,0,0,0
08191225,0,0,0,0,2,0,0,2
08191981,2,0,0,0,11,0,2,9
08195018,0,0,0,0,0,0,98,0
08196676,0,0,0,0,0,0,23,0
08196933,10,0,0,0,10,0,2,8
08197497,34,0,0,0,81,0,37,44
08197678,1097,0,0,0,1097,0,110,987
08198579,0,0,0,0,0,0,30,0
08199455,0,0,0,0,0,0,92,0
08200572,0,0,0,0,0,0,119,0
08201023,0,0,0,0,0,0,93,0
08203624,0,0,0,0,0,0,1,0
08206917,0,0,0,0,23,0,120,0
08213217,0,0,0,0,381,0,0,381
08213004,91,0,0,0,91,0,630,0
08210143,0,0,0,0,0,0,0,0
08213832,0,0,0,0,0,0,0,0
08212578,0,0,0,0,0,0,95,0
08214623,0,0,0,0,0,0,141,0
08215446,0,0,0,0,0,0,6,0
08217752,0,0,0,0,0,0,62,0
08220602,49,0,0,0,89,0,183,0
08221467,0,0,0,0,0,0,0,0
08221555,0,0,0,0,0,0,148,0
08222722,0,0,0,0,0,0,122,0
08222495,0,0,0,0,0,0,98,0
08223351,0,0,0,0,0,0,93,0
08224063,0,0,0,0,0,0,134,0
08211791,0,0,0,0,0,0,181,0
08228300,56,0,0,0,56,0,136,0
08229648,0,0,0,0,0,0,0,0
08232339,0,0,0,0,0,0,98,0
08232460,0,0,0,0,0,0,145,0
08233461,0,0,0,0,0,0,49,0
08235799,0,0,0,0,12,0,120,0
08237988,0,0,0,0,0,0,56,0
08199300,225,0,0,0,225,0,213,12
08238318,0,0,0,0,0,0,0,0
08239765,148,0,0,0,148,0,85,63
08240877,67,0,0,0,836,0,0,836
08242957,0,0,0,0,0,0,32,0
08247090,0,0,0,0,0,0,79,0
08247356,0,0,0,0,0,0,90,0
08247452,0,0,0,0,0,0,166,0
08247455,0,0,0,0,0,0,172,0
08250678,0,0,0,0,0,0,191,0
08250770,65,0,0,0,65,0,153,0
08253783,180,0,0,0,184,0,346,0
08257020,0,0,0,0,0,0,205,0
08260675,57,0,0,0,57,0,334,0
08263034,0,0,0,0,0,0,0,0
08263825,0,0,0,0,0,0,50,0
08211352,0,0,0,0,0,0,92,0
08266388,0,0,0,0,0,0,32,0
08268094,0,0,0,0,0,0,126,0
08268177,0,0,0,0,44,0,52,0
08269234,0,0,0,0,0,0,59,0
08271583,0,0,0,0,0,0,85,0
08256444,0,0,0,0,0,0,103,0
08273790,0,0,0,0,0,0,0,0
08273672,55,0,0,0,55,0,75,0
08274942,0,0,0,0,0,0,0,0
08279077,2,0,0,0,2,0,264,0
08281007,0,0,0,0,32,0,120,0
08281009,0,0,0,0,71,0,30,41
08282557,0,0,0,0,0,0,60,0
08286107,0,0,0,0,0,0,99,0
