application_number,pto_adjustment,pto_delay,applicant_delay,patent_term_extension
09068213,0,0,0,0
09601531,0,0,0,0
02618355,0,0,0,0
02645467,0,0,0,0
03011650,0,0,0,0
03237574,0,575,0,575
03429712,0,0,0,0
03755362,0,0,0,0
04394390,0,0,0,0
04446144,0,0,0,0
04520820,0,0,0,0
04520821,0,0,0,0
04554637,0,0,0,0
04594943,0,0,0,0
04625928,0,0,0,0
04623186,0,0,0,0
04769760,0,0,0,0
05001949,0,0,0,0
05014828,0,0,0,0
05064156,0,0,0,0
05069516,0,0,0,0
05278496,0,0,0,0
05300041,0,0,0,0
05484506,0,0,0,0
05543296,0,0,0,0
05543299,0,0,0,0
05543297,0,0,0,0
05543295,0,0,0,0
05567142,0,7018,0,7018
05574170,0,0,0,0
05609454,0,0,0,0
05609452,0,0,0,0
05633324,0,0,0,0
05673296,0,9692,0,9692
05678018,0,6500,0,6500
05742952,0,0,0,0
05771060,0,9323,0,9323
05783919,0,0,0,0
05792958,0,0,0,0
05803327,0,9785,0,9785
05823894,0,8747,0,8747
05823885,0,8786,0,8786
05823888,0,9020,0,9020
05823893,0,9048,0,9048
05823891,0,9048,0,9048
05823889,0,9048,0,9048
05823892,0,9059,0,9059
05823886,0,8859,0,8859
05823890,0,8747,0,8747
05730221,0,8354,0,8354
05935054,0,8585,0,8585
05956935,0,8700,0,8700
06062843,0,0,0,0
06132466,0,7954,0,7954
06149084,0,0,0,0
06186887,0,7410,0,7410
06256204,0,3251,3251,0
06290747,0,6851,0,6851
06308184,0,7546,0,7546
06316203,0,1109,1109,0
06374679,0,6136,0,6136
06378313,0,6014,0,6014
06457406,0,6664,0,6664
06457291,0,5910,0,5910
06468239,0,5676,0,5676
06483451,0,558,558,0
06492051,0,6934,0,6934
06509268,0,6435,0,6435
06511075,0,6167,0,6167
06534876,0,6733,0,6733
06594171,0,6304,0,6304
06623284,0,7063,0,7063
06707611,0,6889,0,6889
06754890,0,5965,0,5965
06754891,0,5878,0,5878
06789008,0,5081,0,5081
06795843,0,4145,0,4145
06785186,0,4131,0,4131
06786269,0,5345,0,5345
06788002,0,3691,0,3691
06820393,0,5976,0,5976
06820251,0,6470,0,6470
06825488,0,4873,4873,0
06836524,0,2102,0,2102
06864481,0,5287,0,5287
06910045,0,0,0,0
06917027,0,3707,0,3707
06922199,0,1819,0,1819
07012615,0,5720,0,5720
07012764,0,5771,0,5771
07012598,0,6250,0,6250
08256297,0,0,0,0
07021229,0,4033,0,4033
07024046,0,0,0,0
07027371,0,0,0,0
07032041,0,785,0,785
07075699,0,5819,0,5819
07068501,0,3042,0,3042
09430132,0,0,0,0
