application_number,event_code,recorded_date
02549302,SETS,2001-09-20
02048602,SETS,2001-09-19
02262037,LFLOST,2002-09-13
02262037,BIG.,2002-01-02
02262037,SMAL,2002-01-02
02262037,LOST,2001-10-31
02262037,SRCH,2001-10-31
02262037,SETS,2001-09-20
03339498,SETS,2001-09-20
03324609,SETS,2001-09-20
03324609,TMOS,1986-05-01
03324609,LOST,1986-05-01
03324609,SRCH,1985-09-13
03324609,LOST,1985-09-13
03370521,WPIR,2002-01-17
03370521,WPIR,2002-01-08
03428325,WPIR,2002-01-17
03428325,WPIR,2002-01-08
03439941,SETS,2001-09-20
03439941,N084,1979-11-19
03439941,MN/=.,1979-09-06
03439941,N/=.,1979-09-06
03333576,LFFOUND,2008-04-15
03333576,TMOS,2001-11-06
03333576,SRCH,2001-10-10
03333576,SETS,2001-09-20
03333576,TMOS,2000-09-21
03333576,SRCH,2000-08-16
03333576,LFLOST,2000-08-16
03333576,FOND,1999-02-11
03333576,TMOS,1995-10-06
03333576,SRCH,1995-09-20
03333576,SRCH,1995-09-08
03333576,LOST,1995-09-01
03333576,FOND,1992-09-10
03333576,TMOS,1991-02-20
03333576,SRCH,1991-01-22
03333576,LOST,1991-01-11
03558530,TMOS,2000-09-12
03558530,SRCH,2000-08-16
03558530,LFLOST,2000-08-16
03476306,SETS,2001-09-20
03476306,SRCH,2000-09-12
03476306,TMOS,2000-04-12
03476306,SRCH,2000-03-15
03476306,LFLOST,2000-02-10
03476306,TMOS,1999-09-10
03476306,SRCH,1999-08-09
03476306,LOST,1999-07-28
03476306,SRCH,1998-06-17
03476306,LOST,1998-06-01
03476306,TMOS,1995-10-04
03476306,SRCH,1995-09-20
03476306,SRCH,1995-09-08
03476306,LOST,1995-09-01
03476306,FOND,1991-11-07
03476306,SRCH,1991-10-31
03476306,LOST,1991-10-22
03476306,TMOS,1991-02-22
03476306,SRCH,1991-02-22
03476306,SRCH,1991-01-22
03476306,LOST,1991-01-16
03562595,SETS,2001-09-20
03580410,SETS,2001-09-20
03450131,SETS,2001-09-20
03450131,TMOS,1994-06-10
03450131,SRCH,1994-06-06
03450131,SRCH,1994-05-10
03450131,LOST,1994-05-04
03450131,TMOS,1993-03-08
03450131,SRCH,1993-02-10
03450131,LOST,1993-02-01
03450131,TMOS,1991-06-06
03450131,SRCH,1991-05-02
03450131,LOST,1991-04-25
03450131,TMOS,1990-10-11
03450131,SRCH,1990-09-21
03450131,SRCH,1990-09-12
03450131,LOST,1990-08-28
03580411,SETS,2001-09-20
03568707,LFLOST,2002-09-04
03568707,SETS,2001-09-20
03568707,TMOS,1999-08-10
03568707,SRCH,1999-07-12
03568707,LOST,1999-06-04
03568707,SRCH,1985-03-26
03568707,LOST,1985-03-22
03665109,SETS,2001-09-20
03634860,SETS,2001-09-20
03544991,LFFOUND,2002-08-13
03544991,LFLOST,2002-08-12
03544991,SETS,2001-09-20
03544991,SRCH,2000-12-15
03544991,LOST,2000-12-15
03544991,FOND,2000-05-04
03544991,SRCH,2000-04-21
03544991,LOST,2000-03-28
03544991,LOST,2000-03-10
03544991,FOND,1995-10-18
03544991,SRCH,1995-10-13
03544991,LOST,1995-09-29
03544991,FOND,1995-08-16
03544991,TMOS,1995-08-10
03544991,SRCH,1995-07-24
03544991,SRCH,1995-07-11
03544991,SRCH,1989-11-17
03544991,SRCH,1989-11-13
03544991,LOST,1989-11-13
03544991,SRCH,1989-11-03
03544991,TMOS,1988-08-04
03544991,SRCH,1988-07-12
03544991,LOST,1988-07-12
03672343,WPIR,2002-01-17
03672343,WPIR,2002-01-08
03710864,SETS,2001-09-20
03679552,SETS,2001-09-20
03679552,FOND,1991-12-03
03679552,TMOS,1987-04-28
03679552,SRCH,1987-03-24
03679552,LOST,1987-03-24
03515417,LFFOUND,2002-08-13
03515417,LFLOST,2002-08-12
03515417,SETS,2001-09-20
03515417,FOND,2000-05-05
03515417,SRCH,2000-04-21
03515417,LOST,2000-03-28
03515417,LOST,2000-03-10
03515417,FOND,1996-09-13
03515417,TMOS,1996-06-28
03515417,SRCH,1996-05-28
03515417,LOST,1996-05-07
03515417,FOND,1991-09-03
03515417,SRCH,1991-08-27
03515417,LOST,1991-08-19
03515417,TMOS,1991-03-01
03515417,SRCH,1991-02-15
03515417,LOST,1991-02-11
03515417,SRCH,1987-08-06
03515417,LOST,1987-08-06
03515417,TMOS,1987-02-17
03515417,SRCH,1987-01-08
03515417,LOST,1987-01-06
03749583,SETS,2001-09-20
03632416,SETS,2001-09-20
03632416,SRCH,2000-11-20
03632416,LFLOST,2000-11-20
03632416,FOND,2000-06-30
03632416,SRCH,2000-06-27
03632416,LOST,2000-05-23
03632416,TMOS,1999-08-10
03632416,SRCH,1999-07-12
03632416,LOST,1999-06-04
03632416,TMOS,1994-01-13
03632416,SRCH,1993-12-15
03632416,LOST,1993-12-02
03753166,SETS,2001-09-20
03753166,MN/=.,1979-09-06
03753166,N/=.,1979-09-06
03767490,SETS,2001-09-20
03767490,MN/=.,1979-08-30
03767490,N/=.,1979-08-30
03527413,LFLOST,2002-07-10
03527413,SETS,2001-09-20
03527413,TMOS,1995-08-11
03527413,SRCH,1995-07-11
03527413,LOST,1995-06-28
03527413,TMOS,1995-03-23
03527413,SRCH,1995-02-23
03527413,LOST,1995-02-14
03527413,TMOS,1992-02-26
03527413,SRCH,1992-02-26
03527413,LOST,1992-01-22
03527413,TMOS,1991-10-23
03527413,SRCH,1991-09-26
03527413,LOST,1991-09-11
03527413,TMOS,1991-03-21
03527413,SRCH,1991-02-22
03527413,LOST,1991-02-15
03527413,SRCH,1990-03-21
03527413,LOST,1990-03-16
03527413,SRCH,1989-01-17
03527413,LOST,1989-01-17
03527413,TMOS,1988-07-27
03527413,SRCH,1988-06-14
03527413,LOST,1988-05-31
03527413,TMOS,1987-03-26
03527413,SRCH,1987-02-18
03527413,LOST,1987-02-10
03527413,TMOS,1987-01-05
03527413,SRCH,1986-12-09
03527413,LOST,1986-12-09
03527413,SRCH,1986-11-26
03527413,SRCH,1986-11-25
03527413,LOST,1986-11-24
03527413,TMOS,1986-11-10
03527413,SRCH,1986-10-27
03527413,LOST,1986-10-20
03527413,LOST,1986-06-19
03527413,TMOS,1986-06-16
03527413,SRCH,1986-06-06
03527413,LOST,1986-06-06
03804539,TMOS,2001-11-06
03804539,SRCH,2001-10-10
03804539,SETS,2001-09-20
03804539,TMOS,2001-08-23
03804539,SRCH,2001-07-30
03804539,TMOS,1997-08-14
03804539,SRCH,1997-06-13
03804539,LFLOST,1997-06-06
03804539,LOST,1991-02-22
03804539,LOST,1991-02-21
03804539,LOST,1990-10-09
03826370,LFLOST,2006-09-11
03826370,SETS,2001-09-20
03826370,FOND,1992-12-23
03826370,TMOS,1991-06-03
03826370,SRCH,1991-05-03
03826370,LOST,1991-04-25
03826370,TMOS,1990-10-17
03826370,SRCH,1990-09-25
03826370,LOST,1990-09-25
03826370,SRCH,1990-08-30
03826370,LOST,1990-08-21
03855477,SETS,2001-09-20
03734340,LFFOUND,2003-04-10
03734340,LFLOST,2003-04-09
03734340,LFFOUND,2002-05-10
03734340,LFLOST,2002-02-07
03734340,SETS,2001-09-20
03734340,TMOS,2001-05-11
03734340,FOND,2001-05-11
03734340,SRCH,2000-12-20
03734340,LOST,2000-12-20
03734340,FOND,1992-04-27
03734340,SRCH,1992-04-23
03734340,LOST,1992-04-17
03734340,FOND,1991-07-26
03734340,TMOS,1991-04-23
03734340,SRCH,1991-03-25
03734340,LOST,1991-03-15
03734340,TMOS,1990-08-07
03734340,SRCH,1990-07-27
03734340,SRCH,1990-07-11
03734340,LOST,1990-07-09
03804540,TMOS,2001-10-26
03804540,SRCH,2001-10-09
03804540,SETS,2001-09-20
03804540,TMOS,2001-08-24
03804540,SRCH,2001-07-26
03804540,TMOS,2001-07-26
03804540,SRCH,1997-08-14
03804540,SRCH,1997-06-13
03804540,LFLOST,1997-06-05
03804540,TMOS,1994-09-08
03804540,SRCH,1994-08-12
03804540,LOST,1994-08-05
03804540,TMOS,1993-08-30
03804540,SRCH,1993-07-30
03804540,LOST,1993-07-26
03804540,TMOS,1993-02-09
03804540,SRCH,1993-01-11
03804540,LOST,1992-10-02
03804540,TMOS,1990-12-12
03804540,SRCH,1990-11-13
03804540,LOST,1990-10-09
03804540,SRCH,1990-03-13
03804540,LOST,1990-03-07
03804540,LOST,1988-07-18
03804540,TMOS,1988-05-03
03804540,SRCH,1988-03-17
03804540,LOST,1988-03-14
03804540,LOST,1988-03-07
04024882,SETS,2001-09-20
04051754,SETS,2001-09-20
03337899,SETS,2001-09-20
03337899,FOND,1996-09-23
03337899,SRCH,1996-09-12
03337899,LOST,1996-09-03
03369600,SETS,2001-09-20
03354872,SETS,2001-09-20
03831599,SETS,2001-09-20
03831599,FOND,1993-02-09
03831599,SRCH,1993-02-03
03831599,LOST,1993-01-05
03831599,N570,1990-08-20
03831599,PA..,1990-08-10
03831599,N570,1990-06-07
03831599,PA..,1990-05-24
03831599,N570,1990-01-26
03831599,PA..,1989-11-16
03831599,SRCH,1989-10-02
